namespace,relation1,property,relation2,return_class
dt,has_property,year,return_class,None
dt,has_property,month,return_class,None
dt,has_property,day,return_class,None
dt,has_property,hour,return_class,None
dt,has_property,minute,return_class,None
dt,has_property,second,return_class,None
dt,has_property,microsecond,return_class,None
dt,has_property,nanosecond,return_class,None
dt,has_property,dayofyear,return_class,None
dt,has_property,day_of_year,return_class,None
dt,has_property,quarter,return_class,None
dt,has_property,daysinmonth,return_class,None
dt,has_property,days_in_month,return_class,None
dt,has_property,freq,return_class,None
dt,has_property,unit,return_class,None
dt,has_property,qyear,return_class,None
dt,has_property,days,return_class,None
dt,has_property,seconds,return_class,None
dt,has_property,microseconds,return_class,None
dt,has_property,nanoseconds,return_class,None
dt,has_property,is_month_start,return_class,Bool
dt,has_property,is_month_end,return_class,Bool
dt,has_property,is_quarter_start,return_class,Bool
dt,has_property,is_quarter_end,return_class,Bool
dt,has_property,is_year_start,return_class,Bool
dt,has_property,is_year_end,return_class,Bool
dt,has_property,is_leap_year,return_class,Bool
dt,has_property,components,return_class,Dataframe
dt,has_property,dayofweek,return_class,Series
dt,has_property,day_of_week,return_class,Series
dt,has_property,weekday,return_class,Series
dt,has_property,start_time,return_class,Timestamp
dt,has_property,end_time,return_class,Timestamp
sparse,has_property,npoints,return_class,None
sparse,has_property,fill_value,return_class,None
sparse,has_property,sp_values,return_class,None
SeriesGroupBy,has_property,groups,return_class,None
SeriesGroupBy,has_property,indices,return_class,None
SeriesGroupBy,has_property,is_monotonic_increasing,return_class,Bool
SeriesGroupBy,has_property,is_monotonic_decreasing,return_class,Bool
SeriesGroupBy,has_property,plot,return_class,Axes
SeriesGroupBy,has_property,nth,return_class,Series
StataReader,has_property,data_label,return_class,None
Styler,has_property,env,return_class,None
Styler,has_property,template_html,return_class,None
Styler,has_property,template_html_style,return_class,None
Styler,has_property,template_html_table,return_class,None
Styler,has_property,template_latex,return_class,None
Styler,has_property,template_string,return_class,None
Styler,has_property,loader,return_class,None
Tick,has_property,delta,return_class,None
Tick,has_property,freqstr,return_class,None
Tick,has_property,kwds,return_class,None
Tick,has_property,name,return_class,None
Tick,has_property,normalize,return_class,None
Tick,has_property,rule_code,return_class,None
Tick,has_property,n,return_class,None
Tick,has_property,nanos,return_class,Int
Timedelta,has_property,components,return_class,None
Timedelta,has_property,microseconds,return_class,None
Timedelta,has_property,unit,return_class,None
